,,,,,,,Numero,deCasos,segunFecha,deInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abri al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Ancud ,42.458 ,3 ,"7,1 ",3 ,"7,1 ",3 ,"7,1 ",0 ,O ,O ,O ,0 ,0 ,3 ,0 
Calbuco & ,36.744 ,8 ,"21,8 ",1 ,"2,7 ",1 ,"2,7 ",0 ,O ,1 ,3 ,1 ,2 ,1 ,0 
Castro ,47.607 ,7 ,"14,7 ",3 ,"6,3 ",3 ,"6,3 ",O ,O ,O ,2 ,O ,5 ,O ,O 
Chaiten ,5.020 ,1 ,"19,9 ",0 ,"0,0 ",O ,"0,0 ",0 ,O ,O ,O ,1 ,0 ,0 ,0 
Chonchi ,16.013 ,0 ,"0,0 ",0 ,"0,0 ",0 ,"0,0 ",0 ,O ,0 ,O ,O ,0 ,0 ,0 
Cochamo ,4.006 ,1 ,"25,0 ",1 ,"25,0 ",1 ,"25,0 ",0 ,O ,0 ,O ,O ,O ,1 ,O 
Curaco de Velez ,4.066 ,O ,"0,0 ",O ,"0,0 ",O ,"0,0 ",O ,O ,O ,O ,O ,O ,O ,O 
Dalcahue ,15.069 ,O ,"0,0 ",0 ,"0,0 ",O ,"0,0 ",0 ,O ,0 ,0 ,O ,O ,O ,O 
Fresia ,12.656 ,1 ,"7,9 ",O ,"0,0 ",0 ,"0,0 ",0 ,O ,O ,1 ,O ,O ,O ,0 
Frutillar ,20.223 ,6 ,"29,7 ",2 ,"9,9 ",2 ,"9,9 ",0 ,O ,O ,0 ,1 ,3 ,2 ,O 
Futaleufu ,2.806 ,0 ,"0,0 ",0 ,"0,0 ",0 ,"0,0 ",0 ,0 ,0 ,0 ,O ,0 ,O ,O 
Hualaihue ,9.525 ,3 ,"31,5 ",0 ,"0,0 ",O ,"0,0 ",0 ,O ,O ,O ,3 ,0 ,O ,O 
Llanquihue & ,18.621 ,2 ,"10,7 ",1 ,"5,4 ",1 ,"5,4 ",0 ,O ,0 ,0 ,1 ,1 ,0 ,0 
Los Muermos ,17.817 ,1 ,"5,6 ",O ,"0,0 ",O ,"0,0 ",0 ,O ,O ,1 ,O ,O ,O ,0 
Maullin ,14.894 ,2 ,"13,4 ",2 ,"13,4 ",2 ,"13,4 ",0 ,O ,O ,0 ,0 ,1 ,1 ,0 
Osorno ,173.410 ,249 ,"143,6 ",44 ,"25,4 ",39 ,"22,5 ",0 ,O ,3 ,56 ,107 ,53 ,27 ,3 
Palena ,1.827 ,O ,"0,0 ",0 ,"0,0 ",O ,"0,0 ",0 ,O ,O ,O ,O ,0 ,0 ,O 
Puerto Montt ,269.398 ,76 ,"28,2 ",7 ,"2,6 ",7 ,"2,6 ",0 ,1 ,11 ,26 ,21 ,12 ,3 ,2 
Puerto Octay ,9.192 ,1 ,"10,9 ",O ,"0,0 ",O ,"0,0 ",O ,O ,O ,1 ,O ,O ,O ,O 
Puerto Varas ,48.620 ,8 ,"16,5 ",4 ,"8,2 ",4 ,"8,2 ",0 ,O ,1 ,0 ,1 ,4 ,2 ,0 
