PuertoVaras,48620,6,12.3,4,8.2,4,8.2,O,O,1,O,1,2,2
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O ,0 ,0 ,0 ,0 
Purranque ,21080 ,16 ,75.9 ,13 ,61.7 ,13 ,61.7 ,0 ,O ,O ,O ,3 ,10 ,3 
Puyehue ,11787 ,2 ,17.0 ,1 ,8.5 ,1 ,8.5 ,O ,O ,O ,1 ,O ,1 ,0 
Queilen ,5543 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,O ,O ,0 
Quellon ,29309 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,0 ,O ,0 ,O ,0 
Quemch ,8783 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,O ,O ,0 
Quinchao ,8298 ,1 ,12.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,0 ,1 ,O ,0 
Rio Negro ,14275 ,3 ,21.0 ,2 ,14.0 ,2 ,14.0 ,O ,O ,O ,O ,1 ,2 ,O 
San Juan de la Costa ,7639 ,14 ,183.3 ,13 ,170.2 ,13 ,170.2 ,0 ,O ,O ,O ,1 ,11 ,2 
San Pablo ,10553 ,6 ,56.9 ,4 ,37.9 ,4 ,37.9 ,0 ,O ,O ,O ,2 ,4 ,0 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
