Negrete,10429,2,19.2,2,19.2,2,19.2,O,O,0,0,0,2,O,O
Penco ,49865 ,11 ,22.1 ,5 ,10.0 ,5 ,10.0 ,0 ,O ,0 ,1 ,3 ,4 ,2 ,1 
Quilaco ,4179 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,0 ,O ,O ,O ,0 ,O 
Quilleco ,10032 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,O ,0 ,O ,O ,O ,O ,O 
San Pedro de la Paz ,145906 ,75 ,51.4 ,17 ,11.7 ,17 ,11.7 ,1 ,O ,4 ,21 ,23 ,18 ,7 ,1 
San Rosendo ,3611 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,0 ,O ,0 ,O ,0 ,O 
Santa Barbara ,14592 ,3 ,20.6 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,1 ,2 ,O ,0 ,O 
Santa Juana ,14779 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,0 ,0 ,0 ,0 ,0 ,O 
Talcahuano ,158345 ,82 ,51.8 ,31 ,19.6 ,31 ,19.6 ,O ,0 ,1 ,7 ,33 ,27 ,13 ,1 
Tirua ,11019 ,4 ,36.3 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,0 ,1 ,2 ,1 ,O ,O 
Tome ,58729 ,37 ,63.0 ,17 ,28.9 ,17 ,28.9 ,O ,O ,1 ,8 ,7 ,12 ,9 ,O 
Tucapel ,15205 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,O ,0 ,0 ,0 ,O ,0 ,O 
Yumbe ,22132 ,5 ,22.6 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,O ,5 ,O ,O ,O 
Total ,1663696 ,542 ,32.6 ,176 ,10.6 ,174 ,10.5 ,1 ,3 ,21 ,99 ,178 ,159 ,72 ,9 
