RioClaro,14753,6,40.7,4,27.1,4,27.1,O,O,0,1,0,1,2,2
Romeral ,16170 ,5 ,30.9 ,3 ,18.6 ,1 ,6.2 ,0 ,0 ,0 ,O ,2 ,O ,1 ,2 
Sagrada Familia ,19469 ,1 ,5.1 ,O ,0.0 ,O ,0.0 ,O ,0 ,O ,O ,0 ,1 ,0 ,O 
San Clemente ,46292 ,4 ,8.6 ,4 ,8.6 ,4 ,8.6 ,O ,0 ,O ,0 ,0 ,O ,1 ,3 
San Javier ,49451 ,11 ,22.2 ,4 ,8.1 ,4 ,8.1 ,O ,O ,O ,0 ,2 ,7 ,2 ,O 
San Rafael ,9959 ,2 ,20.1 ,1 ,10.0 ,1 ,10.0 ,0 ,0 ,O ,0 ,0 ,1 ,1 ,0 
Talca ,236724 ,91 ,38.4 ,48 ,20.3 ,47 ,19.9 ,O ,3 ,4 ,11 ,20 ,15 ,9 ,29 
Teno ,30850 ,1 ,3.2 ,1 ,3.2 ,1 ,3.2 ,O ,0 ,O ,0 ,0 ,O ,1 ,0 
Vichuquen ,4381 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,O ,0 ,O ,0 ,O 
Villa Alegre ,17512 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,0 ,0 ,O ,0 ,O 
Yerbas Buenas ,19200 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,O ,0 ,O ,0 ,O 
Total ,1131939 ,223 ,19.7 ,117 ,10.3 ,111 ,9.8 ,0 ,3 ,5 ,21 ,47 ,54 ,41 ,52 
