Olmue,19266,1,5.2,1,5.2,1,5.2,O,0,0,0,0,1,O,O
Panquehue ,7633 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Papudo ,6201 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,0 ,O ,O 
Petorca ,10558 ,6 ,56.8 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,1 ,4 ,1 ,O ,0 
Puchuncavi ,20071 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,0 ,0 ,O ,O ,O 
Putaendo ,17645 ,2 ,11.3 ,1 ,5.7 ,1 ,5.7 ,O ,0 ,0 ,1 ,0 ,0 ,1 ,0 
Quillota ,97572 ,18 ,18.4 ,5 ,5.1 ,5 ,5.1 ,O ,1 ,0 ,2 ,8 ,3 ,4 ,0 
Quilpue ,167085 ,21 ,12.6 ,5 ,3.0 ,5 ,3.0 ,0 ,1 ,2 ,2 ,8 ,7 ,1 ,0 
Quintero ,36135 ,4 ,11.1 ,O ,0.0 ,O ,0.0 ,O ,O ,0 ,3 ,2 ,0 ,O ,0 
Rinconada ,11263 ,2 ,17.8 ,2 ,17.8 ,2 ,17.8 ,O ,O ,0 ,O ,0 ,0 ,2 ,0 
San Antonio ,96761 ,19 ,19.6 ,9 ,9.3 ,8 ,8.3 ,O ,0 ,O ,0 ,5 ,10 ,4 ,O 
San Esteban ,20643 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,0 ,0 ,0 ,0 ,0 ,0 
San Felipe ,83494 ,6 ,7.2 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,3 ,2 ,1 ,O ,0 
Santa Maria ,16367 ,2 ,12.2 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,2 ,O ,O ,O 
Santo Domingo ,11934 ,10 ,83.8 ,6 ,50.3 ,6 ,50.3 ,O ,0 ,2 ,1 ,0 ,4 ,3 ,0 
Valparaiso ,315732 ,45 ,14.3 ,12 ,3.8 ,12 ,3.8 ,O ,1 ,2 ,10 ,16 ,10 ,6 ,O 
Villa Alemana ,139310 ,12 ,8.6 ,1 ,0.7 ,1 ,0.7 ,O ,0 ,1 ,7 ,3 ,1 ,0 ,0 
Vina del Mar ,361371 ,75 ,20.8 ,13 ,3.6 ,12 ,3.3 ,O ,O ,7 ,21 ,28 ,15 ,2 ,1 
Zapallar ,7994 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,0 ,O ,0 ,0 ,O ,O 
Total ,1960170 ,299 ,15.3 ,83 ,4.2 ,81 ,4.1 ,0 ,4 ,15 ,67 ,99 ,75 ,39 ,1 
